Latitude (decimal degrees): 37.389
Longitude (decimal degrees): -5.995
Elevation (m): 17.0
Irradiance Time Offset (h): 0.1664
month,year
1,2020
2,2010
3,2007
4,2006
5,2013
6,2022
7,2009
8,2015
9,2015
10,2020
11,2010
12,2013
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20200101:0000,8.83,85.6,0.0,-0.0,0.0,299.4,1.92,54.0,102270.0
20200101:0100,8.37,87.85,0.0,-0.0,0.0,296.23,1.92,53.0,102180.0
20200101:0200,7.9,90.1,0.0,-0.0,0.0,293.06,1.92,52.0,102120.0
20200101:0300,7.44,92.34,0.0,-0.0,0.0,289.89,1.91,50.0,102110.0
20200101:0400,6.97,94.59,0.0,-0.0,0.0,286.72,1.91,45.0,102100.0
20200101:0500,6.51,96.83,0.0,-0.0,0.0,283.55,1.91,42.0,102090.0
20200101:0600,6.04,99.08,0.0,-0.0,0.0,280.38,1.9,40.0,102120.0
20200101:0700,5.58,100.0,0.0,-0.0,0.0,277.21,1.9,43.0,102190.0
20200101:0800,6.4,92.35,52.0,378.78,22.0,284.3,1.79,39.0,102250.0
20200101:0900,8.19,95.8,215.0,665.15,56.0,281.6,1.38,41.0,102290.0
20200101:1000,10.85,83.0,361.0,785.98,73.0,294.35,1.59,49.0,102330.0
20200101:1100,12.67,74.7,465.0,852.75,79.0,296.1,1.52,55.0,102330.0
20200101:1200,14.32,69.75,512.0,872.19,83.0,287.75,1.38,50.0,102260.0
20200101:1300,15.61,62.85,496.0,853.8,85.0,292.05,1.24,46.0,102160.0
20200101:1400,16.5,56.6,422.0,805.85,82.0,302.3,1.03,44.0,102110.0
20200101:1500,16.85,56.6,300.0,727.51,69.0,298.4,0.83,43.0,102080.0
20200101:1600,16.68,56.6,144.0,570.4,44.0,301.7,0.48,44.0,102120.0
20200101:1700,15.94,60.65,0.0,0.0,0.0,296.65,0.14,295.0,102140.0
20200101:1800,14.83,64.95,0.0,-0.0,0.0,296.1,0.48,286.0,102150.0
20200101:1900,13.27,69.55,0.0,-0.0,0.0,288.75,0.76,287.0,102150.0
20200101:2000,12.32,74.6,0.0,-0.0,0.0,286.6,0.76,290.0,102160.0
20200101:2100,11.57,77.3,0.0,-0.0,0.0,284.5,0.62,300.0,102160.0
20200101:2200,10.87,83.0,0.0,-0.0,0.0,282.35,0.69,328.0,102200.0
20200101:2300,10.1,86.0,0.0,-0.0,0.0,281.0,0.83,357.0,102190.0
20200102:0000,9.37,89.1,0.0,-0.0,0.0,279.25,0.9,28.0,102180.0
20200102:0100,7.94,92.4,0.0,-0.0,0.0,277.05,1.1,59.0,102110.0
20200102:0200,6.71,95.8,0.0,-0.0,0.0,276.35,1.31,73.0,102070.0
20200102:0300,5.88,95.8,0.0,-0.0,0.0,273.85,1.45,64.0,102070.0
20200102:0400,5.19,99.4,0.0,-0.0,0.0,273.85,1.45,41.0,102050.0
20200102:0500,4.71,99.4,0.0,-0.0,0.0,273.05,1.52,27.0,102060.0
20200102:0600,4.57,99.4,0.0,-0.0,0.0,279.25,1.38,29.0,102100.0
20200102:0700,4.59,99.4,0.0,-0.0,0.0,278.3,1.31,44.0,102180.0
20200102:0800,4.67,99.4,53.0,405.3,21.0,279.25,1.17,52.0,102220.0
